epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.5353,1.05504,2.24683,0.98513,0.00333,1,0.76785,0.49155,0.79568,3.00493,0.91414,0.000647059,0.000647059,0.000647059
2,27.311,0.87968,1.294,0.93228,1,0.54248,0.995,0.69166,1.02258,2.248,1.02446,0.00130072,0.00130072,0.00130072
3,39.9765,0.85803,1.11017,0.95063,0.98987,1,0.99464,0.80717,0.69426,1.26004,0.92174,0.00194118,0.00194118,0.00194118
4,52.5676,0.80471,0.9284,0.92495,0.99914,1,0.995,0.81315,0.67881,0.8189,0.89473,0.0019406,0.0019406,0.0019406
5,65.2346,0.75265,0.78514,0.91197,0.99913,1,0.995,0.81587,0.68757,0.6973,0.85082,0.0019208,0.0019208,0.0019208
6,78.1018,0.78101,0.74578,0.90916,0.99764,1,0.995,0.85288,0.58081,0.57888,0.85564,0.001901,0.001901,0.001901
7,90.6562,0.76676,0.69325,0.902,0.99877,1,0.995,0.84248,0.63281,0.5549,0.86568,0.0018812,0.0018812,0.0018812
8,103.326,0.76374,0.63158,0.90461,0.99876,1,0.995,0.83456,0.64673,0.44878,0.84293,0.0018614,0.0018614,0.0018614
9,116.023,0.72076,0.60094,0.8966,0.99945,1,0.995,0.84305,0.63316,0.44352,0.84553,0.0018416,0.0018416,0.0018416
10,128.66,0.68739,0.53229,0.88041,0.99896,1,0.995,0.82395,0.66213,0.4257,0.84,0.0018218,0.0018218,0.0018218
11,141.341,0.68048,0.51025,0.88253,0.99912,1,0.995,0.86453,0.56812,0.34047,0.82098,0.001802,0.001802,0.001802
12,154.036,0.64977,0.47175,0.87373,0.9995,1,0.995,0.87618,0.53235,0.32685,0.81379,0.0017822,0.0017822,0.0017822
13,166.533,0.66894,0.4842,0.88103,0.99877,1,0.995,0.82711,0.64184,0.36824,0.84592,0.0017624,0.0017624,0.0017624
14,179.018,0.6695,0.47182,0.87357,0.99929,1,0.995,0.86605,0.56119,0.32881,0.81233,0.0017426,0.0017426,0.0017426
15,191.524,0.68785,0.47803,0.86883,0.99939,1,0.995,0.84465,0.6026,0.35933,0.82618,0.0017228,0.0017228,0.0017228
16,204.173,0.6631,0.45387,0.87532,0.99858,1,0.995,0.84425,0.57767,0.40654,0.80101,0.001703,0.001703,0.001703
17,216.648,0.64109,0.43169,0.86317,0.99942,1,0.995,0.85019,0.62386,0.38493,0.82615,0.0016832,0.0016832,0.0016832
18,229.001,0.62644,0.41145,0.85884,0.99754,1,0.995,0.87657,0.5116,0.36301,0.79151,0.0016634,0.0016634,0.0016634
19,241.432,0.63318,0.42554,0.85754,0.99937,1,0.995,0.88651,0.54225,0.33804,0.79431,0.0016436,0.0016436,0.0016436
20,253.888,0.62659,0.42013,0.86127,0.99935,1,0.995,0.87479,0.54951,0.32394,0.80237,0.0016238,0.0016238,0.0016238
21,266.347,0.61397,0.41554,0.85423,0.99949,1,0.995,0.87354,0.54247,0.32143,0.80719,0.001604,0.001604,0.001604
22,278.856,0.62322,0.42353,0.85176,0.99954,1,0.995,0.87146,0.54246,0.33721,0.7997,0.0015842,0.0015842,0.0015842
23,291.234,0.63671,0.41225,0.86369,0.99922,1,0.995,0.87432,0.5463,0.32902,0.80019,0.0015644,0.0015644,0.0015644
24,303.632,0.62605,0.40327,0.854,0.9994,1,0.995,0.87511,0.5534,0.35011,0.82638,0.0015446,0.0015446,0.0015446
25,316.033,0.61499,0.39515,0.85534,0.99939,1,0.995,0.89255,0.52355,0.31984,0.8034,0.0015248,0.0015248,0.0015248
