epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9525,0.52615,2.35395,0.89475,0.00405,1,0.77631,0.7084,0.36069,2.57608,0.7325,0.000539324,0.000539324,0.000539324
2,25.339,0.40785,1.16049,0.85571,1,0.49844,0.74201,0.67474,0.38436,2.09113,0.76253,0.00108776,0.00108776,0.00108776
3,36.6196,0.42145,0.97783,0.86755,0.99528,0.49231,0.99204,0.91354,0.37687,1.80124,0.80826,0.00162887,0.00162887,0.00162887
4,47.8542,0.39105,0.80805,0.84702,0.98448,0.97562,0.99003,0.97072,0.31235,0.84273,0.78145,0.00163399,0.00163399,0.00163399
5,59.0679,0.34067,0.71867,0.83157,0.94957,0.96407,0.995,0.97221,0.30325,0.70382,0.78507,0.00162299,0.00162299,0.00162299
6,70.2182,0.32589,0.65541,0.82872,0.99658,0.99901,0.995,0.97831,0.26035,0.57008,0.77959,0.00161199,0.00161199,0.00161199
7,81.2954,0.30996,0.56755,0.82684,0.99573,1,0.995,0.98614,0.20016,0.3668,0.75803,0.00160099,0.00160099,0.00160099
8,92.417,0.33317,0.5112,0.82718,0.99826,1,0.995,0.98967,0.22076,0.35947,0.76397,0.00158998,0.00158998,0.00158998
9,103.546,0.30918,0.48676,0.8407,0.99752,1,0.995,0.98844,0.21759,0.35279,0.75947,0.00157898,0.00157898,0.00157898
10,114.594,0.28456,0.42604,0.82582,0.99834,1,0.995,0.98998,0.23138,0.33615,0.76366,0.00156798,0.00156798,0.00156798
11,125.72,0.28553,0.39583,0.81709,0.99905,1,0.995,0.98406,0.24155,0.25554,0.76736,0.00155698,0.00155698,0.00155698
12,136.754,0.27019,0.35424,0.82339,0.99904,1,0.995,0.9897,0.18585,0.18778,0.75066,0.00154598,0.00154598,0.00154598
13,147.797,0.27521,0.36343,0.81841,0.99872,1,0.995,0.99365,0.20341,0.25582,0.75657,0.00153497,0.00153497,0.00153497
14,158.936,0.25912,0.32708,0.81437,0.99823,1,0.995,0.99383,0.18486,0.21915,0.74977,0.00152397,0.00152397,0.00152397
15,170.011,0.26144,0.31617,0.81865,0.99895,1,0.995,0.99268,0.19116,0.20222,0.75452,0.00151297,0.00151297,0.00151297
16,181.065,0.25605,0.30618,0.81149,0.99913,1,0.995,0.99174,0.18091,0.18633,0.75098,0.00150197,0.00150197,0.00150197
17,192.078,0.24977,0.28513,0.82341,0.99887,1,0.995,0.99057,0.20834,0.19765,0.75412,0.00149096,0.00149096,0.00149096
18,203.091,0.25702,0.27876,0.81473,0.99881,1,0.995,0.99221,0.18095,0.18649,0.74786,0.00147996,0.00147996,0.00147996
19,214.066,0.24764,0.27003,0.81326,0.99873,1,0.995,0.99326,0.1672,0.1634,0.74568,0.00146896,0.00146896,0.00146896
20,225.046,0.23744,0.26086,0.80313,0.99875,1,0.995,0.99435,0.16296,0.18189,0.74631,0.00145796,0.00145796,0.00145796
